,"Title","Date","Author Keywords"
0,"Domain specific word embeddings for natural language processing in radiology ","2021/01/01","Natural language processing,Word embeddings,Analogy completion,Multi-label classification"
1,"HMATC: Hierarchical multi-label Arabic text classification model using machine learning ","2020/09/22","Text classification,Multi-label classification,Hierarchical classification,Machine learning,Arabic natural language processing"
2,"The main trends for multi-tier supply chain in Industry 4.0 based on Natural Language Processing ","2021/02/01","Multi-tier supply chain (MSC),Industry 4.0,Literature review,Text mining,Unsupervised learning"
3,"Application of deep and machine learning techniques for multi-label classification performance on psychotic disorder diseases ","2021/01/01","Deep neural networks,Deep learning class imbalance,Mental disorder multi-label classification,Psychotic disorder disease"
4,"Multi-label classification and interactive NLP-based visualization of electric vehicle patent data ","2019/09/01",0
5,"Multi-label Arabic text classification in Online Social Networks ","2021/04/10","Arabic natural language processing,Arabic text classification,Arabic sentiment analysis"
6,"Health Quest: A generalized clinical decision support system with multi-label classification ","2021/01/01","Clinical decision support system,Electronic Health Record,Deep learning,Natural language processing,GPUs,Big data,Machine learning,High Performance computing,Disease Identification,Big data analytics"
7,"Eras: Improving the quality control in the annotation process for Natural Language Processing tasks ","2020/11/01","Annotation tool,Ontology-based annotation,Entities and relations annotation,Corpus curation,Natural Language Processing"
8,"A systematic review of natural language processing for classification tasks in the field of incident reporting and adverse event analysis ","2019/12/01","Abbreviations,ADE,adverse drug event,EHR,electronic health record,AUC,area under receiver operating characteristic curves,SVM,support vector machines,Natural language processing,Machine learning,Text classification,Incident reporting,Adverse event analysis,Patient safety"
9,"An automatic literature knowledge graph and reasoning network modeling framework based on ontology and natural language processing ","2019/10/01","Representation ontology,Natural language processing,Knowledge graph,Knowledge reasoning"
10,"Boosting ICD multi-label classification of health records with contextual embeddings and label-granularity ","2020/05/01","Electronic health record,International classification of diseases,Multi-label classification,Recurrent neural networks,Contextual embeddings,Label-granularity"
11,"Hybrid ontology-learning materials engineering system for pharmaceutical products: Multi-label entity recognition and concept detection ","2017/12/05","Natural language processing,Entity recognition,Ontology,Machine learning,Concept detection"
12,"A novel reasoning mechanism for multi-label text classification ","2021/03/01","Multi-label learning,Text classification,Label embedding,Iterative reasoning mechanism,2010 MSC,00-01,99-00"
13,"A Context Integrated Model for Multi-label Emotion Detection ","2018/01/01","Emotion analysis,Topic/sentiment model,Natural Language processing,Arabic tweets,Deep learning,Transfer learning"
14,"Innovation hotspots in food waste treatment, biogas, and anaerobic digestion technology: A natural language processing approach ","2019/07/10","Natural language processing,Latent Dirichlet Allocation,TF-IDF,Food waste,Biogas,Anaerobic digestion"
15,"GHS-NET a generic hybridized shallow neural network for multi-label biomedical text classification ","2021/04/01","Multi-label biomedical text classification,Deep neural network,Hybrid methodology,Biomedical literature classification,Clinical notes classification,CNN,LSTM"
16,"Addressing the multi-label imbalance for neural networks: An approach based on stratified mini-batches ","2021/05/07","Multi-label classification,Data imbalance,Deep learning,Stratified sampling,Mini-batch gradient descent,2010 MSC,00-01,99-00"
17,"Natural Language Process: A New Kind of Nuclear Quality Assurance Management Tool ","2017/09/01","quality assurance,nuclear engineering,nuclear safety,natural language process,Pattern Recognition,machine learning,artificial intelligence,enterprise resource planning,Labeled-LDA,SVM,text classification,NLP,AI,expert system,ERP,unstructured data,event classification,knowledge management,experience feedback,classification algorithms,Chinese word segmentation,CRF,sequence labelling,corpus management,topic models"
18,"Deep neural network to extract high-level features and labels in multi-label classification problems ","2020/11/06","Deep neural networks,Multi-label classification,High-level features,High-level labels,Association-based pooling"
19,"Predicting ICD-9 code groups with fuzzy similarity based supervised multi-label classification of unstructured clinical nursing notes ","2020/02/29","Clinical decision support systems,Disease prediction,Healthcare analytics,ICD-9 code group prediction,Machine learning,Natural language processing"
20,"Manifold regularized matrix completion for multi-label learning with ADMM ","2018/05/01","Multi-label learning,Matrix completion,ADMM,Manifold assumption"
21,"Classifying emotions in Stack Overflow and JIRA using a multi-label approach ","2020/05/11","Multi-label classification,Emotion classification,Stack Overflow,Jira Issue Tracker"
22,"Multi-label Log-Loss function using L-BFGS for document categorization ","2020/05/01","Multi-label classification,Text mining,Quasi-Newton method,Holy Quran,Corpus analysis,BFGS,Scikit-learn,Artificial neural networks,Text classification"
23,"InPHYNet: Leveraging attention-based multitask recurrent networks for multi-label physics text classification ","2021/01/09","Architectures for educational technology system,AI in physics education,Attention-based multitask recurrent network,Multi-label classification"
24,"Improved sequence generation model for multi-label classification via CNN and initialized fully connection ","2020/03/21","Multi-label classification,CNN,LSTM,Text classification"
25,"A generalized weighted distance k-Nearest Neighbor for multi-label problems ","2021/06/01","Multi-label classification,Binary relevance,Nearest neighbor,Adaptive distance measure,Prototype weighting"
