,Title,Date,Author Keywords
0,Memetic feature selection for multilabel text categorization using label frequency difference ,2019/06/01,0
1,Arabic text classification using deep learning models ,2020/01/01,"Arabic text classification/categorization,Single-label text categorization,Multi-label text categorization,Word embedding,Deep learning,SANAD,NADiA"
2,Correlation analysis of performance measures for multi-label classification ,2018/05/01,"Multi-label classification,Evaluation measures"
3,Multi-label Log-Loss function using L-BFGS for document categorization ,2020/05/01,"Multi-label classification,Text mining,Quasi-Newton method,Holy Quran,Corpus analysis,BFGS,Scikit-learn,Artificial neural networks,Text classification"
4,Multi-label Arabic text categorization: A benchmark and baseline comparison of multi-label learning algorithms ,2019/01/01,"Multi-label learning,Arabic text categorization,RTAnews,Multi-label benchmark"
5,Solving multi-label text categorization problem using support vector machine approach with membership function ,2011/10/01,"Multi-label,One-against-one support vector machine,Membership function"
6,Deep neural network for hierarchical extreme multi-label text classification ,2019/06/01,"Extreme multi-label text classification,Semantic indexing,Deep learning,MeSH,Semi-supervised word embeddings"
7,Multilabel text categorization based on a new linear classifier learning method and a category-sensitive refinement method ,2008/04/01,"Text categorization,Text classifiers,Category-sensitive refinement method,Multilabel text categorization,Relevance scores"
8,Cognitive structure learning model for hierarchical multi-label text classification ,2021/04/22,"Hierarchical multi-label text classification,Cognitive structure,Capsule neural network,Text representation"
9,ML-MDLText: An efficient and lightweight multilabel text classifier with incremental learning ,2020/11/01,"Minimum description length,Multilabel classification,Online learning,Text categorization,Machine learning"
10,Multi-label classification and interactive NLP-based visualization of electric vehicle patent data ,2019/09/01,0
11,Multi-label legal document classification: A deep learning-based approach with label-attention and domain-specific pre-training ,2021/01/18,"Multi-label classification,Procedural posture,Label-attended document classification,Domain-specific pre-training"
12,Ensemble multi-label text categorization based on rotation forest and latent semantic indexing ,2016/09/15,"Multi-label classification,Text categorization,Ensemble learning,Rotation forest,Content analysis and indexing"
13,Multilabel classification using heterogeneous ensemble of multi-label classifiers ,2012/04/01,"Multilabel classification,Heterogeneous ensemble of multilabel classifiers,Static/dynamic weighting"
14,Automated multi-label text categorization with VG-RAM weightless neural networks ,2009/06/01,"VG-RAM weightless neural networks,Multi-label text categorization,Web page categorization,Categorization of economic activities"
15,Fuzzy unordered rule induction algorithm in text categorization on top of geometric particle swarm optimization term selection ,2013/12/01,"Fuzzy rule,Geometric particle swarm optimization,Text categorization,Information gain,Multi-label text categorization,Feature selection"
16,Feature ranking for enhancing boosting-based multi-label text categorization ,2018/12/15,"RFBoost,Boosting,Multi-label learning,Text categorization,Feature ranking"
17,FSKNN: Multi-label text categorization based on fuzzy similarity and k nearest neighbors ,2012/02/15,"Document classification,Multi-label classification,Fuzzy similarity measure,k,-nearest neighbor algorithm,Maximum a posteriori estimate"
18,Text categorisation in Quran and Hadith: Overcoming the interrelation challenges using machine learning and term weighting ,2019/03/13,"Text categorisation,Machine learning,TF-IDF,SVM,NB,KNN"
19,ML-KNN: A lazy learning approach to multi-label learning ,2007/07/01,"Machine learning,Multi-label learning,Lazy learning,K,-nearest neighbor,Functional genomics,Natural scene classification,Text categorization,Abbreviation,KNN,, ,K,-nearest neighbor,M,L-KNN,, multi-label ,K,-nearest neighbor,MAP, maximum a posteriori,P,MM,, parametric mixture model"
20,A multiclass/multilabel document categorization system: Combining multiple classifiers in a reduced dimension ,2011/12/01,"Document categorization,Vector space models,Multiclassifiers,Distance based classifiers"
21,Predicting ICD-9 code groups with fuzzy similarity based supervised multi-label classification of unstructured clinical nursing notes ,2020/02/29,"Clinical decision support systems,Disease prediction,Healthcare analytics,ICD-9 code group prediction,Machine learning,Natural language processing"
22,Multi label text classification method based on co-occurrence latent semantic vector space ,2018/01/01,"Random Forest (RF),Multi label text,Co-Occurrence Latent Semantic Vector Space (CLSVS)"
23,Multi-label classification using hierarchical embedding ,2018/01/01,"Multi-label learning,Matrix factorization,Label correlation"
24,Multi-label text categorization using L21-norm minimization extreme learning machine ,2017/10/25,"Text categorization,Multi-label learning,Extreme learning machine,L,21,-norm minimization"
25,Application of deep and machine learning techniques for multi-label classification performance on psychotic disorder diseases ,2021/01/01,"Deep neural networks,Deep learning class imbalance,Mental disorder multi-label classification,Psychotic disorder disease"
26,An efficient multi-label learning method with label projection ,2020/11/05,"Multi-label classification,Variational inference,SVMs,Label projection,Labels relationship"
27,Hybrid ontology-learning materials engineering system for pharmaceutical products: Multi-label entity recognition and concept detection ,2017/12/05,"Natural language processing,Entity recognition,Ontology,Machine learning,Concept detection"
28,Multi-Label Learning with Class-Based Features Using Extended Centroid-Based Classification Technique (CCBF) ,2015/01/01,"Class-based features,Cure clustering algorithm,Document classification,Label correlations,Multi-label learning."
29,Ant colony optimization based hierarchical multi-label classification algorithm ,2017/06/01,"Hierarchical multi-label classification,Ant colony optimization,Hierarchical single label classification,Bioinformatics data sets with gene ontology and FunCat,Protein function prediction,Correlation based IF-THEN rule list,HmAntMiner-C"
30,Local sets for multi-label instance selection ,2018/07/01,"Multi-label classification,Data reduction,Instance selection,Nearest neighbor,Local set"
31,A label compression method for online multi-label classification ,2018/08/01,"Data stream classification,Multi-label data,Label compression,MSC,41A05,41A10,65D05,65D17"
32,Inverse random under sampling for class imbalance problem and its application to multi-label classification ,2012/10/01,"Class imbalance problem,Multi-label classification,Inverse random under sampling"
33,RFBoost: An improved multi-label boosting algorithm and its application to text categorisation ,2016/07/01,"RFBoost,Boosting,AdaBoost.MH,Text categorisation,Labeled Latent Dirichlet Allocation,Multi-label classification"
34,A model for multi-label classification and ranking of learning objects ,2012/08/01,"Multi-label classification,Learning objects,Tagging,Metadata"
35,Multi-view label embedding ,2018/12/01,"Multi-label classification,Multi-view label embedding,Label space dimension reduction"
36,Multi-objective PSO based online feature selection for multi-label classification ,2021/06/21,"Online feature selection (OFS),Particle swarm optimization (PSO),Multi-label classification,Multi-objective optimization,Redundant feature,Non-significant feature"
